Name	Link
Abalone	https://archive.ics.uci.edu/ml/datasets/Abalone
Adult	https://archive.ics.uci.edu/ml/datasets/Adult
Annealing	https://archive.ics.uci.edu/ml/datasets/Annealing
Anonymous Microsoft Web Data	https://archive.ics.uci.edu/ml/datasets/Anonymous+Microsoft+Web+Data
Arrhythmia	https://archive.ics.uci.edu/ml/datasets/Arrhythmia
Artificial Characters	https://archive.ics.uci.edu/ml/datasets/Artificial+Characters
Audiology (Original)	https://archive.ics.uci.edu/ml/datasets/Audiology+%28Original%29
Audiology (Standardized)	https://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29
Auto MPG	https://archive.ics.uci.edu/ml/datasets/Auto+MPG
Automobile	https://archive.ics.uci.edu/ml/datasets/Automobile
Badges	https://archive.ics.uci.edu/ml/datasets/Badges
Balance Scale	https://archive.ics.uci.edu/ml/datasets/Balance+Scale
Balloons	https://archive.ics.uci.edu/ml/datasets/Balloons
Breast Cancer	https://archive.ics.uci.edu/ml/datasets/Breast+Cancer
Breast Cancer Wisconsin (Original)	https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Original%29
Breast Cancer Wisconsin (Prognostic)	https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Prognostic%29
Breast Cancer Wisconsin (Diagnostic)	https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29
Pittsburgh Bridges	https://archive.ics.uci.edu/ml/datasets/Pittsburgh+Bridges
Car Evaluation	https://archive.ics.uci.edu/ml/datasets/Car+Evaluation
Census Income	https://archive.ics.uci.edu/ml/datasets/Census+Income
Chess (King-Rook vs. King-Knight)	https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Knight%29
Chess (King-Rook vs. King-Pawn)	https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Pawn%29
Chess (King-Rook vs. King)	https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King%29
Chess (Domain Theories)	https://archive.ics.uci.edu/ml/datasets/Chess+%28Domain+Theories%29
Bach Chorales	https://archive.ics.uci.edu/ml/datasets/Bach+Chorales
Connect-4	https://archive.ics.uci.edu/ml/datasets/Connect-4
Credit Approval	https://archive.ics.uci.edu/ml/datasets/Credit+Approval
Japanese Credit Screening	https://archive.ics.uci.edu/ml/datasets/Japanese+Credit+Screening
Computer Hardware	https://archive.ics.uci.edu/ml/datasets/Computer+Hardware
Contraceptive Method Choice	https://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice
Covertype	https://archive.ics.uci.edu/ml/datasets/Covertype
Cylinder Bands	https://archive.ics.uci.edu/ml/datasets/Cylinder+Bands
Dermatology	https://archive.ics.uci.edu/ml/datasets/Dermatology
Diabetes	https://archive.ics.uci.edu/ml/datasets/Diabetes
DGP2 - The Second Data Generation Program	https://archive.ics.uci.edu/ml/datasets/DGP2+-+The+Second+Data+Generation+Program
Document Understanding	https://archive.ics.uci.edu/ml/datasets/Document+Understanding
EBL Domain Theories	https://archive.ics.uci.edu/ml/datasets/EBL+Domain+Theories
Echocardiogram	https://archive.ics.uci.edu/ml/datasets/Echocardiogram
Ecoli	https://archive.ics.uci.edu/ml/datasets/Ecoli
Flags	https://archive.ics.uci.edu/ml/datasets/Flags
Function Finding	https://archive.ics.uci.edu/ml/datasets/Function+Finding
Glass Identification	https://archive.ics.uci.edu/ml/datasets/Glass+Identification
Haberman's Survival	https://archive.ics.uci.edu/ml/datasets/Haberman%27s+Survival
Hayes-Roth	https://archive.ics.uci.edu/ml/datasets/Hayes-Roth
Heart Disease	https://archive.ics.uci.edu/ml/datasets/Heart+Disease
Hepatitis	https://archive.ics.uci.edu/ml/datasets/Hepatitis
Horse Colic	https://archive.ics.uci.edu/ml/datasets/Horse+Colic
ICU	https://archive.ics.uci.edu/ml/datasets/ICU
Image Segmentation	https://archive.ics.uci.edu/ml/datasets/Image+Segmentation
Internet Advertisements	https://archive.ics.uci.edu/ml/datasets/Internet+Advertisements
Ionosphere	https://archive.ics.uci.edu/ml/datasets/Ionosphere
Iris	https://archive.ics.uci.edu/ml/datasets/Iris
ISOLET	https://archive.ics.uci.edu/ml/datasets/ISOLET
Kinship	https://archive.ics.uci.edu/ml/datasets/Kinship
Labor Relations	https://archive.ics.uci.edu/ml/datasets/Labor+Relations
LED Display Domain	https://archive.ics.uci.edu/ml/datasets/LED+Display+Domain
Lenses	https://archive.ics.uci.edu/ml/datasets/Lenses
Letter Recognition	https://archive.ics.uci.edu/ml/datasets/Letter+Recognition
